"Section","Visual","Query","QueryType","entity","attribute"
"Test","tableEx","Date.Year","Column",,
"Test","tableEx","Trip.Journey Count","Measure",,
"Test","tableEx","Geography.State","Column",,
"Test","tableEx","Trip.Journey Count","Measure",,
"Test","tableEx","Geography.Country","Column",,
"Demo","clusteredColumnChart","Date.MonthName","Column",,
"Demo","clusteredColumnChart","Trip.Journey Count","Measure",,
"Demo","clusteredColumnChart","","",,
"Demo","clusteredColumnChart","","",,
"Demo","pivotTable","Trip.Average Number of Trips","Measure",,
"Demo","pivotTable","Date.DayName","Column",,
"Demo","pivotTable","Time.HourNumber","Column",,
"Demo","columnChart","Trip.Average Distance","Measure",,
"Demo","columnChart","Time.HourNumber","Column",,
"Demo","columnChart","","",,
"Demo","columnChart","","",,
"Demo","map","Trip.Journey Count","Measure",,
"Demo","map","Geography.ZipCode","Column",,
"Demo","map","","",,
